Price,('Close', 'TECO2.BA'),('High', 'TECO2.BA'),('Low', 'TECO2.BA'),('Open', 'TECO2.BA'),('Volume', 'TECO2.BA')
Ticker,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA
Date,,,,,
2021-07-16,178.35000610351562,180.1999969482422,173.6999969482422,175.0,76606
2021-07-19,176.10000610351562,176.75,168.75,174.0,24871
2021-07-20,178.9499969482422,180.0,176.0,176.35000610351562,39425
2021-07-21,184.5,185.0,178.0,180.25,86852
2021-07-22,182.0,185.60000610351562,179.75,185.0,61665
2021-07-23,178.89999389648438,187.89999389648438,177.0,182.0,53386
2021-07-26,180.6999969482422,183.0,179.0500030517578,179.0500030517578,43176
2021-07-27,181.39999389648438,183.0,178.39999389648438,178.89999389648438,30580
2021-07-28,184.0500030517578,186.0,181.5,181.5,27657
2021-07-29,184.0,185.0,180.5500030517578,184.39999389648438,21939
2021-07-30,181.64999389648438,184.0,178.0,184.0,42667
2021-08-02,181.0,185.6999969482422,179.5,185.6999969482422,43561
2021-08-03,180.10000610351562,184.14999389648438,178.0500030517578,182.0,28280
2021-08-04,180.0,181.5,178.5,180.0,47996
2021-08-05,182.6999969482422,183.0,180.0,180.4499969482422,28805
2021-08-06,186.89999389648438,186.89999389648438,182.60000610351562,183.0,54760
2021-08-09,180.4499969482422,187.0,180.0,186.0,787641
2021-08-10,180.25,181.4499969482422,177.10000610351562,180.1999969482422,71372
2021-08-11,181.14999389648438,182.0500030517578,178.0,179.5,61268
2021-08-12,178.8000030517578,180.0,172.0,172.0,216260
2021-08-13,178.75,180.5,173.0,180.5,79705
2021-08-17,177.5500030517578,179.89999389648438,174.10000610351562,178.75,83320
2021-08-18,180.5,182.75,174.10000610351562,177.0,54915
2021-08-19,177.75,181.10000610351562,174.1999969482422,181.10000610351562,46344
2021-08-20,184.3000030517578,188.5,178.0,179.5500030517578,356800
2021-08-23,189.0500030517578,190.8000030517578,183.6999969482422,186.0,59933
2021-08-24,189.0500030517578,191.0,185.10000610351562,190.0,93608
2021-08-25,186.1999969482422,194.6999969482422,185.5,191.10000610351562,241917
2021-08-26,186.5,189.0,184.0,185.0,176689
2021-08-27,189.0500030517578,192.0,187.0,187.0,206297
2021-08-30,194.8000030517578,198.0,190.0,192.0,467239
2021-08-31,192.0500030517578,198.5,189.0,196.0,224939
2021-09-01,188.6999969482422,197.0,188.0,194.0,200087
2021-09-02,190.0500030517578,192.8000030517578,183.1999969482422,184.89999389648438,139819
2021-09-03,186.35000610351562,198.5,185.25,194.0,111430
2021-09-06,192.85000610351562,193.10000610351562,185.5,188.0,56156
2021-09-07,192.25,194.0,188.0,189.8000030517578,350877
2021-09-08,188.10000610351562,191.8000030517578,185.89999389648438,190.3000030517578,334944
2021-09-09,190.1999969482422,191.0,185.0,189.0,270645
2021-09-10,187.6999969482422,192.0,185.10000610351562,189.10000610351562,283114
2021-09-13,193.0500030517578,202.0,191.5,200.0,204922
2021-09-14,193.0500030517578,194.1999969482422,188.5500030517578,194.1999969482422,167140
2021-09-15,190.0,194.6999969482422,186.1999969482422,193.0,101647
2021-09-16,194.14999389648438,195.0,181.39999389648438,185.6999969482422,99580
2021-09-17,187.89999389648438,197.10000610351562,186.5500030517578,192.9499969482422,98004
2021-09-20,183.5500030517578,187.0,181.89999389648438,187.0,239328
2021-09-21,184.0,186.9499969482422,182.0500030517578,183.5,177373
2021-09-22,186.3000030517578,189.0,183.25,185.85000610351562,201913
2021-09-23,187.6999969482422,190.0,185.0500030517578,188.14999389648438,65584
