Price,('Close', 'TRAN.BA'),('High', 'TRAN.BA'),('Low', 'TRAN.BA'),('Open', 'TRAN.BA'),('Volume', 'TRAN.BA')
Ticker,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA
Date,,,,,
2022-03-21,56.400001525878906,58.400001525878906,56.099998474121094,57.0,105734
2022-03-22,56.400001525878906,58.20000076293945,55.099998474121094,57.29999923706055,294831
2022-03-23,54.70000076293945,57.70000076293945,54.20000076293945,57.0,313045
2022-03-25,58.79999923706055,59.400001525878906,55.0,55.5,309283
2022-03-28,58.70000076293945,59.599998474121094,57.0,58.79999923706055,64289
2022-03-29,57.0,59.29999923706055,56.5,58.900001525878906,153529
2022-03-30,56.099998474121094,57.5,55.70000076293945,57.5,330572
2022-03-31,55.400001525878906,57.0,54.5,56.099998474121094,153608
2022-04-01,56.5,56.5,54.5,56.0,104274
2022-04-04,56.400001525878906,56.599998474121094,55.400001525878906,56.5,435013
2022-04-05,56.0,56.79999923706055,55.20000076293945,56.0,197473
2022-04-06,56.79999923706055,57.20000076293945,55.0,55.0,358287
2022-04-07,57.900001525878906,58.900001525878906,56.099998474121094,56.79999923706055,209823
2022-04-08,58.79999923706055,59.20000076293945,58.0,58.5,152397
2022-04-11,57.400001525878906,59.099998474121094,57.0,59.099998474121094,99522
2022-04-12,56.599998474121094,58.70000076293945,55.5,58.70000076293945,68061
2022-04-13,56.0,57.0,54.70000076293945,56.79999923706055,162461
2022-04-18,54.900001525878906,56.70000076293945,54.70000076293945,56.29999923706055,105899
2022-04-19,55.29999923706055,55.5,54.099998474121094,54.79999923706055,235618
2022-04-20,54.79999923706055,56.0,54.29999923706055,55.29999923706055,63493
2022-04-21,52.599998474121094,55.79999923706055,52.5,54.900001525878906,274976
2022-04-22,52.29999923706055,54.20000076293945,52.0,52.900001525878906,240305
2022-04-25,51.5,53.0,50.099998474121094,52.20000076293945,254961
2022-04-26,50.5,51.900001525878906,50.0,51.79999923706055,407525
2022-04-27,50.599998474121094,51.29999923706055,50.099998474121094,50.900001525878906,249465
2022-04-28,50.599998474121094,51.0,49.5,49.79999923706055,490867
2022-04-29,50.400001525878906,51.29999923706055,50.0,51.0,294943
2022-05-02,49.150001525878906,51.599998474121094,48.75,51.599998474121094,248963
2022-05-03,51.5,51.5,48.5,48.75,816003
2022-05-04,50.79999923706055,51.900001525878906,50.099998474121094,51.900001525878906,291539
2022-05-05,49.349998474121094,51.5,49.099998474121094,51.5,387972
2022-05-06,49.20000076293945,49.79999923706055,48.599998474121094,49.79999923706055,187570
2022-05-09,47.79999923706055,48.79999923706055,47.0,48.79999923706055,187530
2022-05-10,47.04999923706055,48.5,46.20000076293945,47.099998474121094,194168
2022-05-11,47.900001525878906,50.5,47.20000076293945,48.0,230720
2022-05-12,49.95000076293945,50.5,47.29999923706055,49.0,231771
2022-05-13,51.20000076293945,51.5,49.900001525878906,51.0,279735
2022-05-16,50.0,51.5,50.0,51.5,269419
2022-05-17,51.099998474121094,51.900001525878906,50.099998474121094,50.79999923706055,270291
2022-05-19,50.5,51.0,49.099998474121094,51.0,176341
2022-05-20,49.95000076293945,51.5,49.0,50.0,78117
2022-05-23,51.0,51.20000076293945,49.79999923706055,49.79999923706055,138361
2022-05-24,51.400001525878906,51.5,49.5,50.79999923706055,147582
2022-05-26,55.599998474121094,55.70000076293945,51.5,51.5,709590
2022-05-27,56.20000076293945,57.400001525878906,54.5,55.79999923706055,321283
2022-05-30,55.900001525878906,57.400001525878906,55.099998474121094,55.5,77958
2022-05-31,54.5,56.900001525878906,54.0,56.5,220793
2022-06-01,56.0,56.29999923706055,54.0,54.599998474121094,170095
2022-06-02,57.29999923706055,57.900001525878906,56.0,56.0,333598
2022-06-03,59.900001525878906,60.599998474121094,55.599998474121094,57.29999923706055,1323445
2022-06-06,57.29999923706055,60.400001525878906,56.70000076293945,59.900001525878906,570223
2022-06-07,57.20000076293945,59.0,56.29999923706055,57.79999923706055,241268
2022-06-08,55.70000076293945,58.0,54.0,56.29999923706055,743546
2022-06-09,54.0,56.400001525878906,53.20000076293945,56.099998474121094,619066
2022-06-10,55.400001525878906,55.70000076293945,53.099998474121094,53.900001525878906,384225
2022-06-13,54.20000076293945,55.400001525878906,51.0,55.400001525878906,242791
2022-06-14,54.79999923706055,55.400001525878906,53.20000076293945,54.0,192431
2022-06-15,53.79999923706055,55.5,53.400001525878906,55.099998474121094,276751
2022-06-16,52.5,53.79999923706055,52.099998474121094,53.599998474121094,124314
2022-06-21,52.70000076293945,54.20000076293945,52.099998474121094,53.5,96465
2022-06-22,51.79999923706055,53.400001525878906,51.20000076293945,52.0,144447
2022-06-23,50.70000076293945,53.0,48.599998474121094,51.70000076293945,156218
2022-06-24,49.400001525878906,51.5,49.29999923706055,49.29999923706055,184198
2022-06-27,51.20000076293945,51.5,48.79999923706055,49.0,453443
2022-06-28,53.79999923706055,54.0,51.0,51.0,274661
2022-06-29,53.79999923706055,54.29999923706055,52.099998474121094,54.0,106749
2022-06-30,53.20000076293945,54.5,52.5,53.900001525878906,354146
2022-07-01,54.20000076293945,54.400001525878906,52.70000076293945,53.5,247037
2022-07-04,52.20000076293945,54.0,50.099998474121094,53.5,481210
2022-07-05,54.5,54.70000076293945,50.29999923706055,50.29999923706055,296549
2022-07-06,56.79999923706055,57.0,52.599998474121094,54.70000076293945,347550
2022-07-07,60.0,62.5,55.20000076293945,57.0,650048
2022-07-08,62.900001525878906,64.4000015258789,59.0,61.0,419588
2022-07-11,61.900001525878906,63.20000076293945,60.0,62.900001525878906,307474
2022-07-12,60.599998474121094,62.0,60.5,61.79999923706055,618090
2022-07-13,60.599998474121094,61.70000076293945,59.099998474121094,59.099998474121094,553453
2022-07-14,60.400001525878906,61.0,59.29999923706055,61.0,135971
2022-07-15,61.599998474121094,62.20000076293945,59.599998474121094,62.0,161275
2022-07-18,63.400001525878906,63.5,61.5,61.5,291111
2022-07-19,64.9000015258789,65.30000305175781,62.599998474121094,64.0,259638
2022-07-20,68.5,69.0,64.4000015258789,65.0,378678
2022-07-21,69.30000305175781,71.0999984741211,66.19999694824219,66.19999694824219,504076
2022-07-22,70.19999694824219,71.5,68.4000015258789,69.4000015258789,698061
2022-07-25,72.5999984741211,73.0,70.5,70.80000305175781,593579
2022-07-26,71.69999694824219,73.30000305175781,70.80000305175781,72.5999984741211,613966
2022-07-27,74.80000305175781,75.5,70.9000015258789,72.19999694824219,1827307
2022-07-28,77.0999984741211,77.69999694824219,74.30000305175781,76.0,846511
2022-07-29,75.80000305175781,78.19999694824219,71.9000015258789,77.0,398420
2022-08-01,72.69999694824219,76.9000015258789,72.5,75.80000305175781,697243
2022-08-02,74.69999694824219,75.0,71.19999694824219,73.0,297119
2022-08-03,73.9000015258789,75.4000015258789,72.69999694824219,74.9000015258789,481792
2022-08-04,77.0,77.5,73.9000015258789,75.0999984741211,543869
2022-08-05,83.4000015258789,89.0,77.0,77.5999984741211,1285232
2022-08-08,87.0999984741211,89.30000305175781,83.69999694824219,85.0,688247
2022-08-09,83.69999694824219,87.9000015258789,82.5,87.19999694824219,295227
2022-08-10,82.30000305175781,85.4000015258789,81.69999694824219,84.0,497785
2022-08-11,82.4000015258789,85.0,81.5,85.0,237700
2022-08-12,84.30000305175781,84.5999984741211,81.5,83.5,238584
2022-08-16,82.5,85.80000305175781,82.19999694824219,85.80000305175781,314844
2022-08-17,83.0,84.0,81.19999694824219,82.80000305175781,156032
2022-08-18,87.0,87.5,82.19999694824219,83.5,449965
2022-08-19,86.9000015258789,87.9000015258789,82.30000305175781,86.0999984741211,286448
2022-08-22,85.5999984741211,87.4000015258789,83.0999984741211,87.4000015258789,126302
2022-08-23,89.5,89.80000305175781,85.0999984741211,85.0999984741211,172397
2022-08-24,93.80000305175781,94.19999694824219,89.5,90.0,766205
2022-08-25,97.0999984741211,98.0,91.5,94.69999694824219,322246
2022-08-26,95.5,99.80000305175781,93.5999984741211,99.80000305175781,316674
2022-08-29,95.0999984741211,98.69999694824219,93.4000015258789,93.4000015258789,256120
2022-08-30,93.0999984741211,95.5,92.5,95.5,346367
2022-08-31,89.80000305175781,96.5,87.30000305175781,93.0999984741211,342792
2022-09-01,88.5,91.0,86.5,89.9000015258789,229972
2022-09-05,91.4000015258789,91.5,86.30000305175781,86.30000305175781,181811
2022-09-06,89.9000015258789,91.9000015258789,86.80000305175781,86.80000305175781,47211
2022-09-07,96.0,96.5,88.30000305175781,88.30000305175781,446899
2022-09-08,94.80000305175781,97.69999694824219,90.0,97.4000015258789,281716
2022-09-09,94.30000305175781,97.0,93.5,97.0,204130
